name,Unnamed: 0,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,team,pass_yd_p25,pass_yd_p75,rush_yd_p25,rush_yd_p75,rec_yd_p25,rec_yd_p75,pass_td_p25,pass_td_p75,rush_td_p25,rush_td_p75,rec_td_p25,rec_td_p75
Daniel Jones,15,21.176470588235297,32.47058823529412,183.41176470588235,0.8235294117647058,1.1764705882352942,2.0,7.0,37.52941176470589,1.0,0.0,0.0,0.0,0.0,0.4117647058823529,2,IND,91.94009225333157,165.88702360273365,18.80030648151388,33.997913659188754,0.0,0.0,0.41006132462106665,0.7457489123505432,0.5025406749035181,0.9016083759486543,0.0,0.0
David Montgomery,16,0.0,0.0,0.0,0.0,0.0,0.0,11.590216027819888,41.67788842687325,0.5529160110487086,3.729670503550553,3.6747244606496823,31.26357165951957,0.0,0.0549460429008712,7,DET,0.0,0.0,20.659930893832595,37.5673515217171,15.63130066514632,27.97611325288448,0.0,0.0,0.27141874145223444,0.5009834565001196,0.0,0.0
De'Von Achane,17,0.0,0.0,0.0,0.0,0.0,0.0,12.386894071304033,50.4338739477761,0.3808581011360087,5.285613024755046,4.831955299184874,37.64134830025876,0.1981629946062851,0.1531814229410645,9,MIA,0.0,0.0,25.471029387291047,45.76051611313741,18.94220070725582,33.78733267006381,0.0,0.0,0.18695695249539132,0.3454745947762268,0.09846413040116445,0.17900727496427993
Derrick Henry,18,0.0,0.0,0.0,0.0,0.0,0.0,22.21027968658165,124.58971617520425,0.4605677937181581,1.491795825979042,1.491795825979042,15.990657051998818,0.0,0.0613823453821065,8,BAL,0.0,0.0,62.30512741056033,112.59053347358586,7.967529546388136,14.295219814328815,0.0,0.0,0.22792577904144562,0.4157138239425415,0.0,0.0
Drake Maye,19,18.379605056592283,28.32891771859494,193.75898531270505,1.2863095800626263,0.6700241759873975,3.0389062892734,5.373024644878779,31.173276436542874,0.1715793625757348,0.0,0.0,0.0,0.0,1.1523882844056514,8,NE,153.5518718231718,232.51027616746714,24.861605089969263,37.42871954474348,0.0,0.0,1.0254457887237258,1.5494655353032292,0.13693833803219035,0.20639374318808903,0.0,0.0
Drew Lock,20,18.28235903670492,30.580608444130764,235.43981445595367,1.9174516659391232,0.8090422124944414,1.7243194066507015,3.416898868703517,14.124968892406482,0.5059216619002355,0.0,0.0,0.0,0.0,0.3835311300317807,5,SEA,116.88268513849451,211.550822084841,7.005791929264893,12.65920819014094,0.0,0.0,0.9443541340652569,1.7191317435697056,0.25197872549926065,0.45525434694897887,0.0,0.0
Geno Smith,21,21.47732448160906,29.224782437212443,215.5665484262578,0.9703661294332132,0.7536299991187776,2.664806668369,2.0323956710197937,10.332382488464075,0.0377507605960507,0.0,0.0,0.0,0.0,0.861991159020804,8,LV,170.02245444668148,257.6305725808153,8.163681642462112,12.391022295820077,0.0,0.0,0.7746928048178108,1.165915755640539,0.030176773003594046,0.04517190601358337,0.0,0.0
Jahmyr Gibbs,22,0.0,0.0,0.0,0.0,0.0,0.0,16.364893108080487,86.58378512240186,0.8445101330152137,4.668162573920079,3.9490844863728887,45.04428326757646,0.2604084189998096,0.0750588972411216,9,DET,0.0,0.0,43.881973926048914,78.49360236230658,22.230310168841473,40.58638750734184,0.0,0.0,0.4211368101823604,0.7631492288417135,0.12848179624692996,0.23606521197413716
Jake Browning,23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,CIN,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaleel McLaughlin,24,0.0,0.0,0.0,0.0,0.0,0.0,8.762987248697343,51.32778963948548,0.0,1.99052398735218,1.8011901134793036,6.469218963235873,0.0,0.0,7,DEN,0.0,0.0,25.845853038214134,46.451605353086286,3.1944245885925957,5.850764288919707,0.0,0.0,0.0,0.0,0.0,0.0
