,team,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,targets,rec,rec_yd,rec_td,off_fum,def_pass_cmp,def_pass_att,def_pass_yd,def_pass_td,def_int,def_sacks,def_rush_att,def_rush_yd,def_rush_td,def_targets,def_rec,def_rec_yd,def_rec_td,def_fum,opps,games,next_op,next_game_location,next_game_week
10,CIN,24.233080808080807,34.41919191919192,250.36414141414141,2.1560606060606062,0.8707070707070708,3.4186868686868688,20.202525252525252,76.60681818181818,0.5381313131313131,33.106818181818184,24.233080808080807,250.36414141414141,2.1560606060606062,1.077020202020202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['CLE', 'Jacksonville Jaguars', 'Cincinnati Bengals', 'Cincinnati Bengals', 'Cincinnati Bengals', 'Dallas Cowboys', 'Tennessee Titans', 'Cleveland Browns', 'Denver Broncos']",9.0,GNB,AWAY,6.0
11,CLE,22.68181818181818,38.81818181818182,216.34242424242424,0.8272727272727272,1.8292929292929294,2.5929292929292926,23.245454545454546,97.26262626262626,0.8151515151515152,36.163636363636364,22.681818181818183,216.34242424242424,0.8272727272727272,1.106060606060606,12.355050505050505,20.55681818181818,118.79166666666666,0.9926767676767676,0.5838383838383838,1.3022727272727272,14.860858585858585,44.48838383838384,0.427020202020202,19.21641414141414,12.355050505050505,118.79166666666666,0.9926767676767676,0.2727272727272727,"['CLE', 'CLE', 'Green Bay Packers', 'CLE', 'Pittsburgh Steelers', 'Cleveland Browns', 'Cleveland Browns', 'Cleveland Browns', 'Cleveland Browns', 'Cleveland Browns']",10.0,PIT,AWAY,6.0
12,Carolina Panthers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.354545454545455,33.510858585858585,240.81565656565655,1.9838383838383837,0.5555555555555556,3.265656565656566,29.19419191919192,146.20277777777778,0.6694444444444444,31.52550505050505,21.354545454545455,240.81565656565658,1.9838383838383837,1.2714646464646464,,,,BYE,
13,Chicago Bears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.352849927849928,47.53517316017316,347.48333333333335,2.3544011544011543,0.3170995670995671,4.757611832611833,34.88993506493507,152.23189033189033,0.7857864357864358,45.13109668109668,30.352849927849928,347.48333333333335,2.3544011544011543,1.4273809523809524,,,,BYE,
14,Cincinnati Bengals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.732323232323232,18.44570707070707,141.655303030303,1.0151515151515151,0.4444444444444444,1.5921717171717171,13.443181818181818,61.405303030303024,0.5429292929292929,17.70959595959596,12.732323232323232,141.655303030303,1.0151515151515151,0.7297979797979798,,,,BYE,
15,Cleveland Browns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.764898989898988,36.05555555555556,225.1909090909091,1.4785353535353534,1.3212121212121213,2.680808080808081,25.943939393939395,111.01919191919193,0.6595959595959596,33.53181818181818,21.76489898989899,225.1909090909091,1.4785353535353534,0.9179292929292929,,,,BYE,
16,DAL,23.13939393939394,34.121212121212125,229.83939393939394,1.4984848484848485,0.6499999999999999,1.2075757575757575,25.243939393939396,115.37575757575758,0.7818181818181817,33.43939393939394,23.13939393939394,229.83939393939394,1.4984848484848485,1.0151515151515151,15.64040404040404,21.475757575757576,160.53636363636363,1.117171717171717,0.29999999999999993,0.502020202020202,17.426262626262627,77.83131313131312,0.9151515151515152,20.106060606060606,15.64040404040404,160.53636363636363,1.117171717171717,0.2909090909090909,"['DAL', 'NYG', 'DAL', 'DAL', 'Washington Commanders', 'New York Giants', 'Dallas Cowboys', 'Carolina Panthers', 'Tampa Bay Buccaneers', 'Dallas Cowboys']",10.0,CAR,AWAY,6.0
17,DEN,18.53787878787879,28.76839826839827,184.39502164502164,1.6201298701298703,0.8484848484848485,0.8917748917748918,21.46969696969697,96.57683982683983,0.7337662337662337,27.45995670995671,18.53787878787879,184.39502164502164,1.6201298701298703,0.4318181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['TEN', 'Denver Broncos', 'Denver Broncos', 'Cincinnati Bengals', 'Las Vegas Raiders', 'Cleveland Browns', 'Indianapolis Colts', 'Denver Broncos', 'Denver Broncos']",9.0,NYJ,AWAY,6.0
18,DET,29.413888888888888,41.03888888888889,322.3694444444444,2.833333333333333,0.3611111111111111,1.8416666666666666,34.28611111111111,153.2472222222222,1.7083333333333333,39.00277777777778,29.413888888888888,322.3694444444444,2.833333333333333,0.5583333333333333,5.208333333333334,6.708333333333334,43.791666666666664,0.2916666666666667,0.125,0.5,4.833333333333334,12.25,0.08333333333333334,6.583333333333332,5.208333333333334,43.791666666666664,0.2916666666666667,0.0,"['DET', 'CHI', 'BAL', 'CLE', 'Indianapolis Colts', 'Chicago Bears', 'Green Bay Packers', 'Detroit Lions', 'Chicago Bears', 'San Francisco 49ers']",10.0,KAN,AWAY,6.0
19,Dallas Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.777777777777778,12.0,90.47222222222221,0.9166666666666667,0.3611111111111111,0.5555555555555556,11.36111111111111,51.69444444444444,0.11111111111111112,11.777777777777777,7.777777777777778,90.47222222222221,0.9166666666666667,0.2777777777777778,,,,BYE,
20,Denver Broncos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.949494949494948,28.52849927849928,214.238455988456,1.556998556998557,0.356060606060606,2.144300144300144,20.93181818181818,98.65259740259741,0.7968975468975469,27.783189033189032,19.949494949494948,214.238455988456,1.556998556998557,0.6414141414141414,,,,BYE,
21,Detroit Lions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.522222222222221,9.955555555555556,91.08888888888889,0.7555555555555555,0.0,0.3333333333333333,5.066666666666666,25.03333333333333,0.5111111111111111,9.2,6.522222222222221,91.08888888888889,0.7555555555555555,0.2222222222222222,,,,BYE,
22,GNB,18.632070707070707,27.759090909090908,228.5030303030303,1.683838383838384,0.1111111111111111,1.4242424242424243,30.429040404040403,124.86464646464647,1.6345959595959596,26.067171717171718,18.632070707070707,228.5030303030303,1.683838383838384,0.6353535353535353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['DET', 'Washington Commanders', 'Green Bay Packers', 'DAL', 'San Francisco 49ers', 'Miami Dolphins', 'Green Bay Packers', 'Seattle Seahawks', 'New Orleans Saints', 'Green Bay Packers']",10.0,CIN,HOME,6.0
23,Green Bay Packers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.442424242424241,20.69772727272727,147.70631313131315,0.9972222222222222,0.427020202020202,1.3734848484848485,17.088383838383837,59.902272727272724,0.7492424242424243,19.88888888888889,14.442424242424241,147.70631313131312,0.9972222222222222,0.3222222222222222,,,,BYE,
24,HOU,18.8530303030303,29.39242424242424,197.78383838383837,1.2,0.8186868686868687,2.7934343434343436,20.495454545454546,81.5060606060606,0.3333333333333333,28.323737373737377,18.8530303030303,197.78383838383837,1.2,0.6075757575757575,12.35,19.594444444444445,128.22222222222223,0.5444444444444445,0.3888888888888889,1.7166666666666666,14.305555555555555,61.644444444444446,0.4888888888888889,18.772222222222222,12.35,128.22222222222223,0.5444444444444445,0.5055555555555555,"['HOU', 'HOU', 'HOU', 'TEN', 'Houston Texans', 'Jacksonville Jaguars', 'Miami Dolphins', 'Houston Texans', 'Houston Texans']",9.0,SEA,AWAY,7.0
25,Houston Texans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.87070707070707,18.744696969696967,142.83686868686868,0.9297979797979798,0.6381313131313131,2.2732323232323233,15.388131313131314,66.80656565656565,0.4734848484848485,18.148232323232325,11.87070707070707,142.83686868686868,0.9297979797979798,0.3159090909090909,,,,BYE,
