player,team,included,reason,snap_pct_weighted,snap_pct_recent,trend,games_analyzed
Durham Smythe,CHI,False,missing_snap_data_no_touches,0.0,0.0,0.0,5
Dyami Brown,JAX,False,snap_pct_too_low_0.6%,0.5933160402140807,0.4444444444444446,-0.5677478720956979,7
Dylan Sampson,CLE,False,declining_snap_pct_-14.3%,4.599624117583131,3.048456919424661,-14.342847428401425,4
Elic Ayomanor,TEN,False,missing_snap_data_no_touches,0.0,0.0,0.0,4
Elijah Arroyo,SEA,False,missing_snap_data_no_touches,0.0,0.0,0.0,4
Elijah Higgins,ARI,False,missing_snap_data_no_touches,0.0,0.0,0.0,8
Elijah Moore,BUF,False,snap_pct_too_low_0.3%,0.2720258296974861,0.0,-0.4115226337448559,10
Emanuel Wilson,GNB,False,recent_snap_pct_too_low_10.7%,9.66129395472218,10.657057627834535,4.026235619654035,9
Emari Demercado,ARI,False,snap_pct_too_low_2.0%,2.0442548236176874,1.9693842449260408,-1.3420552734100293,5
Emeka Egbuka,TAM,False,snap_pct_too_low_0.8%,0.8443694744523801,0.5050505050505051,-1.3131313131313127,4
Eric Saubert,SEA,False,missing_snap_data_no_touches,0.0,0.0,0.0,4
Evan Engram,DEN,False,missing_snap_data_no_touches,0.0,0.0,0.0,5
Garrett Wilson,NYJ,False,missing_snap_data_no_touches,0.0,0.0,0.0,9
Geno Smith,LVR,True,included,57.63232718866391,56.94835405426537,-0.6000022645827556,10
George Holani,SEA,False,recent_snap_pct_too_low_8.2%,6.939051622678498,8.213655832703452,0.0,3
George Pickens,DAL,False,missing_snap_data_no_touches,0.0,0.0,0.0,7
Grant Calcaterra,PHI,False,missing_snap_data_no_touches,0.0,0.0,0.0,6
Greg Dortch,ARI,False,snap_pct_too_low_0.8%,0.7911432128435203,1.0672814207650274,0.6286849295369572,10
Gunnar Helm,TEN,False,missing_snap_data_no_touches,0.0,0.0,0.0,4
Harold Fannin,CLE,False,snap_pct_too_low_0.8%,0.8330061883465509,0.5376344086021505,-0.9116409537166901,4
Hassan Haskins,LAC,False,recent_snap_pct_too_low_4.3%,4.815330572771379,4.276211593284764,2.490497307570479,4
Hunter Henry,NWE,False,missing_snap_data_no_touches,0.0,0.0,0.0,9
Hunter Long,JAX,False,missing_snap_data_no_touches,0.0,0.0,0.0,6
Hunter Luepke,DAL,False,snap_pct_too_low_0.6%,0.6010828375337577,0.0,-1.975638740344623,6
Hunter Renfrow,CAR,False,missing_snap_data_no_touches,0.0,0.0,0.0,4
Isaac Guerendo,SFO,True,included,21.009131570548455,24.17241379310345,15.28352490421456,4
Isaac TeSlaa,DET,False,missing_snap_data_no_touches,0.0,0.0,0.0,3
Isaiah Bond,CLE,False,snap_pct_too_low_0.3%,0.2763521515988946,0.4761904761904762,0.4761904761904762,4
Isaiah Davis,NYJ,False,recent_snap_pct_too_low_6.6%,6.677030053820183,6.644349766686955,-1.2849431626059733,8
Isaiah Likely,BAL,False,missing_snap_data_no_touches,0.0,0.0,0.0,4
Isiah Pacheco,KAN,False,recent_snap_pct_too_low_13.6%,13.739958270621383,13.573879726803264,-1.0980853659191894,9
J.K. Dobbins,DEN,False,declining_snap_pct_-5.8%,20.482975619628576,18.463203463203463,-5.768833957239757,6
Ja'Marr Chase,CIN,False,snap_pct_too_low_0.7%,0.6676522903155299,0.6410256410256411,0.11192511192511201,9
Ja'Tavion Sanders,CAR,False,missing_snap_data_no_touches,0.0,0.0,0.0,7
Jackson Hawes,BUF,False,missing_snap_data_no_touches,0.0,0.0,0.0,4
Jacory Croskey-Merritt,WAS,False,recent_snap_pct_too_low_12.0%,13.263768195885444,11.979143652512041,-4.149888605552475,4
Jahan Dotson,PHI,False,missing_snap_data_no_touches,0.0,0.0,0.0,7
Jahmyr Gibbs,DET,True,included,24.76067923355782,24.537994150867288,3.2487880076702282,10
Jake Bobo,SEA,False,missing_snap_data_no_touches,0.0,0.0,0.0,4
Jake Browning,CIN,True,included,38.595681748643294,43.418803418803414,-9.807003032809483,4
Jake Ferguson,DAL,False,missing_snap_data_no_touches,0.0,0.0,0.0,8
Jake Tonges,SFO,False,missing_snap_data_no_touches,0.0,0.0,0.0,4
Jakobi Meyers,LVR,False,missing_snap_data_no_touches,0.0,0.0,0.0,10
Jaleel McLaughlin,DEN,True,included,15.951642367294022,17.286288549714214,6.3487885497142145,4
Jalen Hurts,PHI,False,declining_trend_-11.3%,43.46065470048639,43.24350182559137,-11.263496151555856,9
Jalen Nailor,MIN,False,missing_snap_data_no_touches,0.0,0.0,0.0,9
Jalen Tolbert,DAL,False,missing_snap_data_no_touches,0.0,0.0,0.0,10
Jalin Hyatt,NYG,False,missing_snap_data_no_touches,0.0,0.0,0.0,3
Jamari Thrash,CLE,False,missing_snap_data_no_touches,0.0,0.0,0.0,7
Jameis Winston,NYG,True,included,60.31384600933225,64.1937897493453,8.638234193789742,4
James Cook,BUF,True,included,22.495663657803274,21.360009765083174,-4.257274185534108,9
Jameson Williams,DET,False,recent_snap_pct_too_low_1.5%,1.6409616168373804,1.5158582089552237,0.037741545893719586,10
Jared Goff,DET,True,included,58.43522827864535,63.07293767648245,7.302514430394048,10
Jauan Jennings,SFO,False,missing_snap_data_no_touches,0.0,0.0,0.0,9
Javonte Williams,DAL,False,declining_snap_pct_-10.9%,7.828109678220819,5.51912568306011,-10.934343434343432,9
Jaxon Smith-Njigba,SEA,False,snap_pct_too_low_0.9%,0.8620784533770958,0.574712643678161,-0.589019394370817,10
Jaxson Dart,NYG,True,included,22.646488985232363,16.97562203303045,0.0,3
Jayden Daniels,WAS,True,included,69.6360566517782,70.68302068302067,2.764207256010522,7
Jayden Higgins,HOU,False,missing_snap_data_no_touches,0.0,0.0,0.0,4
Jaylen Waddle,MIA,False,missing_snap_data_no_touches,0.0,0.0,0.0,8
Jaylen Warren,PIT,True,included,16.47749041736875,15.828504141197639,3.5278655342065743,9
Jaylen Wright,MIA,False,recent_snap_pct_too_low_5.2%,4.189727112077356,5.2209060948467725,0.0,3
Jaylin Lane,WAS,False,missing_snap_data_no_touches,0.0,0.0,0.0,4
Jaylin Noel,HOU,False,snap_pct_too_low_0.7%,0.7247952453431905,0.5291005291005291,0.0,3
Jeremy McNichols,WAS,False,recent_snap_pct_too_low_2.5%,3.5300592854718116,2.5312650312650313,-3.083247440390297,8
Jeremy Ruckert,NYJ,False,missing_snap_data_no_touches,0.0,0.0,0.0,7
Jerome Ford,CLE,False,recent_snap_pct_too_low_13.2%,11.625404706444039,13.23092998955068,2.0075854328727907,10
Jerry Jeudy,CLE,False,missing_snap_data_no_touches,0.0,0.0,0.0,10
Joe Flacco,CLE,True,included,60.46342936319012,60.020514091390964,-6.894599780244647,5
John Bates,WAS,False,missing_snap_data_no_touches,0.0,0.0,0.0,4
John FitzPatrick,GNB,False,missing_snap_data_no_touches,0.0,0.0,0.0,3
John Metchie,PHI,False,missing_snap_data_no_touches,0.0,0.0,0.0,7
Johnny Mundt,JAX,False,missing_snap_data_no_touches,0.0,0.0,0.0,7
Jonathan Taylor,IND,True,included,39.89334301760884,41.34665919011336,9.0020227403866,9
Jonnu Smith,PIT,False,snap_pct_too_low_0.1%,0.08107292187950711,0.0,-0.5208333333333334,10
Jordan Love,GNB,True,included,50.47009572392307,48.44601075297203,0.34643737037978184,10
Jordan Mason,MIN,False,declining_snap_pct_-8.1%,22.54045795747479,19.93265993265993,-8.13387498170107,6
Jordan Whittington,LAR,False,snap_pct_too_low_0.7%,0.7040214695906882,1.0256410256410258,0.09971509971509973,5
Josh Allen,BUF,True,included,59.228291058909846,59.730960861990525,0.9126187103150301,9
Josh Downs,IND,False,missing_snap_data_no_touches,0.0,0.0,0.0,8
Josh Jacobs,GNB,True,included,32.22836900606763,30.981670670432845,-7.937711833855321,10
Josh Oliver,MIN,False,missing_snap_data_no_touches,0.0,0.0,0.0,5
Josh Palmer,BUF,False,missing_snap_data_no_touches,0.0,0.0,0.0,10
Josh Reynolds,NYJ,False,missing_snap_data_no_touches,0.0,0.0,0.0,4
JuJu Smith-Schuster,KAN,False,missing_snap_data_no_touches,0.0,0.0,0.0,10
Julian Hill,MIA,False,missing_snap_data_no_touches,0.0,0.0,0.0,5
Julius Chestnut,TEN,False,recent_snap_pct_too_low_3.0%,3.3692098612311763,2.9716326635490007,-0.7085279252766936,5
Justice Hill,BAL,False,recent_snap_pct_too_low_3.8%,4.060748216582874,3.7539606006336963,-0.5059264050160208,8
Justin Fields,NYJ,False,declining_snap_pct_-48.1%,15.73332707487017,3.4919363044363045,-48.096460049495704,6
Justin Herbert,LAC,True,included,63.81271591961878,64.22726049844694,-3.3341452743409548,10
Justin Jefferson,MIN,False,snap_pct_too_low_0.0%,0.027082585799331694,0.0,0.0,10
Juwan Johnson,NOR,False,missing_snap_data_no_touches,0.0,0.0,0.0,9
KaVontae Turpin,DAL,False,recent_snap_pct_too_low_3.9%,3.3340544204720257,3.9143088958859042,2.233636626978341,10
Kaleb Johnson,PIT,False,recent_snap_pct_too_low_5.2%,6.390276658608649,5.1834733893557425,0.0,3
Kalif Raymond,DET,False,snap_pct_too_low_0.2%,0.2132556742796248,0.0,-0.8620689655172414,5
Kareem Hunt,KAN,True,included,15.311848654789129,16.264201232716974,1.3469798638827033,10
Kayshon Boutte,NWE,False,missing_snap_data_no_touches,0.0,0.0,0.0,9
Keenan Allen,LAC,False,missing_snap_data_no_touches,0.0,0.0,0.0,10
Kendre Miller,NOR,False,recent_snap_pct_too_low_13.6%,12.537981963058149,13.624149659863946,-0.9295347171126505,8
Kenneth Gainwell,PIT,False,declining_snap_pct_-10.0%,8.211499429083025,6.782547166692016,-10.046392599034405,9
Kenny Pickett,LVR,True,included,27.022757311578196,24.2639262702879,0.0,3
Keon Coleman,BUF,False,missing_snap_data_no_touches,0.0,0.0,0.0,7
Khalil Shakir,BUF,False,missing_snap_data_no_touches,0.0,0.0,0.0,9
Kirk Cousins,ATL,True,included,41.05827927089788,47.76393479673419,37.15787419067358,4
Kyle Juszczyk,SFO,False,snap_pct_too_low_0.6%,0.6155763586389138,0.574712643678161,-0.16602809706257982,9
Kyle Monangai,CHI,False,recent_snap_pct_too_low_9.5%,7.672441400909827,9.514062935115566,9.514062935115566,4
Kyle Pitts,ATL,False,missing_snap_data_no_touches,0.0,0.0,0.0,9
Kyle Williams,NWE,False,snap_pct_too_low_1.0%,0.9715340522685321,0.7092198581560284,0.0,3
Kylen Granson,PHI,False,missing_snap_data_no_touches,0.0,0.0,0.0,6
