player,team,pos,year,active
Cam Grandy,CIN,TE,2022,True
Charlie Jones,CIN,WR,2022,True
Chase Brown,CIN,RB,2022,True
Chris Evans,CIN,RB,2022,True
Drew Sample,CIN,TE,2022,True
Erick All,CIN,TE,2022,True
Irv Smith Jr.,CIN,TE,2022,True
Ja'Marr Chase,CIN,WR,2022,True
Jake Browning,CIN,QB,2022,True
Jermaine Burton,CIN,WR,2022,True
Joe Burrow,CIN,QB,2022,True
Joe Mixon,CIN,RB,2022,True
Kendric Pryor,CIN,WR,2022,True
Kwamie Lassiter II,CIN,WR,2022,True
Mike Gesicki,CIN,TE,2022,True
Mitchell Wilcox,CIN,TE,2022,True
Sam Hubbard,CIN,DE,2022,True
Tanner Hudson,CIN,TE,2022,True
Tee Higgins,CIN,WR,2022,True
Trayveon Williams,CIN,RB,2022,True
Trenton Irwin,CIN,WR,2022,True
Tyler Boyd,CIN,WR,2022,True
Zack Moss,CIN,RB,2022,True
Bailey Zappe,CLE,QB,2022,True
Blake Whiteheart,CLE,TE,2022,True
Brenden Bates,CLE,TE,2022,True
Cedric Tillman,CLE,WR,2022,True
David Bell,CLE,WR,2022,True
David Njoku,CLE,TE,2022,True
Deshaun Watson,CLE,QB,2022,True
Donovan Peoples-Jones,CLE,WR,2022,True
Dorian Thompson-Robinson,CLE,QB,2022,True
Elijah Moore,CLE,WR,2022,True
Harrison Bryant,CLE,TE,2022,True
Jacob Kibodi,CLE,RB,2022,True
Jaelon Darden,CLE,WR,2022,True
Jamari Thrash,CLE,WR,2022,True
Jameis Winston,CLE,QB,2022,True
James Proche,CLE,WR,2022,True
Jerome Ford,CLE,RB,2022,True
Jerry Jeudy,CLE,WR,2022,True
Jordan Akins,CLE,TE,2022,True
Kadarius Toney,CLE,WR,2022,True
Kareem Hunt,CLE,RB,2022,True
Marquise Goodwin,CLE,WR,2022,True
Michael Woods II,CLE,WR,2022,True
Nick Chubb,CLE,RB,2022,True
P.J. Walker,CLE,QB,2022,True
Pierre Strong,CLE,RB,2022,True
Brandin Cooks,DAL,WR,2022,True
Brevyn Spann-Ford,DAL,TE,2022,True
Bryan Anger,DAL,P,2022,True
C.J. Goodwin,DAL,CB,2022,True
CeeDee Lamb,DAL,WR,2022,True
Cooper Rush,DAL,QB,2022,True
Dak Prescott,DAL,QB,2022,True
Dalvin Cook,DAL,RB,2022,True
Deuce Vaughn,DAL,RB,2022,True
Ezekiel Elliott,DAL,RB,2022,True
Hunter Luepke,DAL,FB,2022,True
Jake Ferguson,DAL,TE,2022,True
Jalen Brooks,DAL,WR,2022,True
Jalen Tolbert,DAL,WR,2022,True
Juanyeh Thomas,DAL,FS,2022,True
KaVontae Turpin,DAL,WR,2022,True
Luke Schoonmaker,DAL,TE,2022,True
Michael Gallup,DAL,WR,2022,True
Peyton Hendershot,DAL,TE,2022,True
Rico Dowdle,DAL,RB,2022,True
Ryan Flournoy,DAL,WR,2022,True
Sean McKeon,DAL,TE,2022,True
Tony Pollard,DAL,RB,2022,True
Trey Lance,DAL,QB,2022,True
Tyler Smith,DAL,G,2022,True
Adam Trautman,DEN,TE,2022,True
Audric Estime,DEN,RB,2022,True
Blake Watson,DEN,RB,2022,True
Bo Nix,DEN,QB,2022,True
Brandon Johnson,DEN,WR,2022,True
Chris Manhertz,DEN,TE,2022,True
Courtland Sutton,DEN,WR,2022,True
Devaughn Vele,DEN,WR,2022,True
Greg Dulcich,DEN,TE,2022,True
Jaleel McLaughlin,DEN,RB,2022,True
Jarrett Stidham,DEN,QB,2022,True
Javonte Williams,DEN,RB,2022,True
Josh Reynolds,DEN,WR,2022,True
Lil'Jordan Humphrey,DEN,WR,2022,True
Lucas Krull,DEN,TE,2022,True
Marvin Mims,DEN,WR,2022,True
Michael Burton,DEN,FB,2022,True
Nate Adkins,DEN,TE,2022,True
Phillip Dorsett,DEN,WR,2022,True
Riley Dixon,DEN,P,2022,True
Russell Wilson,DEN,QB,2022,True
Samaje Perine,DEN,RB,2022,True
Troy Franklin,DEN,WR,2022,True
Tyler Badie,DEN,RB,2022,True
Allen Robinson,DET,WR,2022,True
Amon-Ra St. Brown,DET,WR,2022,True
Antoine Green,DET,WR,2022,True
Brock Wright,DET,TE,2022,True
Craig Reynolds,DET,RB,2022,True
Dan Skipper,DET,T,2022,True
David Montgomery,DET,RB,2022,True
Devine Ozigbo,DET,RB,2022,True
Hendon Hooker,DET,QB,2022,True
Isaiah Williams,DET,WR,2022,True
Jack Fox,DET,P,2022,True
Jahmyr Gibbs,DET,RB,2022,True
Jalen Reeves-Maybin,DET,LB,2022,True
Jameson Williams,DET,WR,2022,True
Jared Goff,DET,QB,2022,True
Jason Cabinda,DET,FB,2022,True
Jermar Jefferson,DET,RB,2022,True
Kalif Raymond,DET,WR,2022,True
Marvin Jones,DET,WR,2022,True
Penei Sewell,DET,T,2022,True
Sam LaPorta,DET,TE,2022,True
Shane Zylstra,DET,TE,2022,True
Sione Vaki,DET,RB,2022,True
Taylor Decker,DET,T,2022,True
Teddy Bridgewater,DET,QB,2022,True
Tim Patrick,DET,WR,2022,True
Tom Kennedy,DET,WR,2022,True
Zonovan Knight,DET,RB,2022,True
AJ Dillon,GNB,RB,2022,True
Aaron Jones,GNB,RB,2022,True
Andrew Beck,GNB,FB,2022,True
Ben Sims,GNB,TE,2022,True
Bo Melton,GNB,WR,2022,True
Chris Brooks,GNB,RB,2022,True
Christian Watson,GNB,WR,2022,True
Dontayvion Wicks,GNB,WR,2022,True
Emanuel Wilson,GNB,RB,2022,True
Jayden Reed,GNB,WR,2022,True
John FitzPatrick,GNB,TE,2022,True
Jordan Love,GNB,QB,2022,True
Josh Jacobs,GNB,RB,2022,True
Josiah Deguara,GNB,TE,2022,True
Keisean Nixon,GNB,CB,2022,True
Luke Musgrave,GNB,TE,2022,True
Malik Heath,GNB,WR,2022,True
Malik Willis,GNB,QB,2022,True
MarShawn Lloyd,GNB,RB,2022,True
Patrick Taylor,GNB,RB,2022,True
Romeo Doubs,GNB,WR,2022,True
Samori Toure,GNB,WR,2022,True
Sean Clifford,GNB,QB,2022,True
Tucker Kraft,GNB,TE,2022,True
Brevin Jordan,HOU,TE,2022,True
British Brooks,HOU,RB,2022,True
C.J. Stroud,HOU,QB,2022,True
Cade Stover,HOU,TE,2022,True
Cam Akers,HOU,RB,2022,True
Dalton Schultz,HOU,TE,2022,True
Dameon Pierce,HOU,RB,2022,True
Dare Ogunbowale,HOU,RB,2022,True
Davis Mills,HOU,QB,2022,True
Devin Singletary,HOU,RB,2022,True
J.J. Taylor,HOU,RB,2022,True
John Metchie,HOU,WR,2022,True
Nico Collins,HOU,WR,2022,True
Noah Brown,HOU,WR,2022,True
Robert Woods,HOU,WR,2022,True
Steven Sims,HOU,WR,2022,True
Tank Dell,HOU,WR,2022,True
Teagan Quitoriano,HOU,TE,2022,True
Xavier Hutchinson,HOU,WR,2022,True
Adonai Mitchell,IND,WR,2022,True
Alec Pierce,IND,WR,2022,True
Amari Rodgers,IND,WR,2022,True
Andrew Ogletree,IND,TE,2022,True
Anthony Gould,IND,WR,2022,True
Anthony Richardson,IND,QB,2022,True
Ashton Dulin,IND,WR,2022,True
Deon Jackson,IND,RB,2022,True
Evan Hull,IND,RB,2022,True
Gardner Minshew II,IND,QB,2022,True
Isaiah McKenzie,IND,WR,2022,True
Jake Funk,IND,RB,2022,True
Joe Flacco,IND,QB,2022,True
Jonathan Taylor,IND,RB,2022,True
Josh Downs,IND,WR,2022,True
Juwann Winfree,IND,WR,2022,True
Kylen Granson,IND,TE,2022,True
Michael Pittman Jr.,IND,WR,2022,True
Mo Alie-Cox,IND,TE,2022,True
Trey Sermon,IND,RB,2022,True
Tyler Goodson,IND,RB,2022,True
Will Mallory,IND,TE,2022,True
Austin Trammell,JAX,WR,2022,True
Brenton Strange,JAX,TE,2022,True
Brian Thomas,JAX,WR,2022,True
C.J. Beathard,JAX,QB,2022,True
Calvin Ridley,JAX,WR,2022,True
Christian Kirk,JAX,WR,2022,True
D'Ernest Johnson,JAX,RB,2022,True
Evan Engram,JAX,TE,2022,True
Jamal Agnew,JAX,WR,2022,True
Jamycal Hasty,JAX,RB,2022,True
Logan Cooke,JAX,P,2022,True
Luke Farrell,JAX,TE,2022,True
Mac Jones,JAX,QB,2022,True
Parker Washington,JAX,WR,2022,True
Tank Bigsby,JAX,RB,2022,True
Tim Jones,JAX,WR,2022,True
Travis Etienne,JAX,RB,2022,True
Trevor Lawrence,JAX,QB,2022,True
Baylor Cupp,KAN,TE,2022,True
Blaine Gabbert,KAN,QB,2022,True
Blake Bell,KAN,TE,2022,True
Carson Steele,KAN,RB,2022,True
Carson Wentz,KAN,QB,2022,True
Chris Oladokun,KAN,QB,2022,True
Clyde Edwards-Helaire,KAN,RB,2022,True
DeAndre Hopkins,KAN,WR,2022,True
Donovan Smith,KAN,T,2022,True
Isiah Pacheco,KAN,RB,2022,True
Jaden Hicks,KAN,SS,2022,True
Jared Wiley,KAN,TE,2022,True
Jerick McKinnon,KAN,RB,2022,True
Jody Fortson,KAN,TE,2022,True
JuJu Smith-Schuster,KAN,WR,2022,True
Justin Watson,KAN,WR,2022,True
Justyn Ross,KAN,WR,2022,True
La'Mical Perine,KAN,RB,2022,True
Mecole Hardman,KAN,WR,2022,True
Mike Caliendo,KAN,G,2022,True
Nikko Remigio,KAN,WR,2022,True
Noah Gray,KAN,TE,2022,True
Patrick Mahomes,KAN,QB,2022,True
Rashee Rice,KAN,WR,2022,True
Richie James,KAN,WR,2022,True
Skyy Moore,KAN,WR,2022,True
Travis Kelce,KAN,TE,2022,True
Wanya Morris,KAN,T,2022,True
Xavier Worthy,KAN,WR,2022,True
Austin Ekeler,LAC,RB,2022,True
Derius Davis,LAC,WR,2022,True
Donald Parham,LAC,TE,2022,True
Elijah Dotson,LAC,RB,2022,True
Eric Tomlinson,LAC,TE,2022,True
Hassan Haskins,LAC,RB,2022,True
Isaiah Spiller,LAC,RB,2022,True
JK Scott,LAC,P,2022,True
Jalen Reagor,LAC,WR,2022,True
Josh Palmer,LAC,WR,2022,True
Joshua Kelley,LAC,RB,2022,True
Justin Herbert,LAC,QB,2022,True
Kimani Vidal,LAC,RB,2022,True
Ladd McConkey,LAC,WR,2022,True
Mike Williams,LAC,WR,2022,True
Quentin Johnston,LAC,WR,2022,True
Scott Matlock,LAC,FB,2022,True
Simi Fehoko,LAC,WR,2022,True
Stone Smartt,LAC,TE,2022,True
Tucker Fisk,LAC,TE,2022,True
Will Dissly,LAC,TE,2022,True
Ben Skowronek,LAR,WR,2022,True
Blake Corum,LAR,RB,2022,True
Brett Rypien,LAR,QB,2022,True
Brycen Hopkins,LAR,TE,2022,True
Cody Schrader,LAR,RB,2022,True
Colby Parkinson,LAR,TE,2022,True
Cooper Kupp,LAR,WR,2022,True
Darrell Henderson,LAR,RB,2022,True
Davis Allen,LAR,TE,2022,True
Demarcus Robinson,LAR,WR,2022,True
Hunter Long,LAR,TE,2022,True
Jimmy Garoppolo,LAR,QB,2022,True
Jordan Whittington,LAR,WR,2022,True
Kyren Williams,LAR,RB,2022,True
Matthew Stafford,LAR,QB,2022,True
Puka Nacua,LAR,WR,2022,True
Ronnie Rivers,LAR,RB,2022,True
Royce Freeman,LAR,RB,2022,True
Tutu Atwell,LAR,WR,2022,True
Tyler Higbee,LAR,TE,2022,True
Tyler Johnson,LAR,WR,2022,True
Xavier Smith,LAR,WR,2022,True
Zach Evans,LAR,RB,2022,True
AJ Cole III,LVR,P,2022,True
Aidan O'Connell,LVR,QB,2022,True
Alex Bachman,LVR,WR,2022,True
Alexander Mattison,LVR,RB,2022,True
Ameer Abdullah,LVR,RB,2022,True
Austin Hooper,LVR,TE,2022,True
Brian Hoyer,LVR,QB,2022,True
Brock Bowers,LVR,TE,2022,True
Chris Collier,LVR,RB,2022,True
DJ Turner,LVR,WR,2022,True
Davante Adams,LVR,WR,2022,True
Divine Deablo,LVR,LB,2022,True
Dylan Laube,LVR,RB,2022,True
Hunter Renfrow,LVR,WR,2022,True
Jakob Johnson,LVR,FB,2022,True
Jakobi Meyers,LVR,WR,2022,True
Jesper Horsted,LVR,TE,2022,True
John Samuel Shenker,LVR,TE,2022,True
Kristian Wilkerson,LVR,WR,2022,True
Michael Mayer,LVR,TE,2022,True
Ramel Keyton,LVR,WR,2022,True
Sincere McCormick,LVR,RB,2022,True
Tre Tucker,LVR,WR,2022,True
Tyreik McAllister,LVR,RB,2022,True
Zamir White,LVR,RB,2022,True
Alec Ingold,MIA,FB,2022,True
Braxton Berrios,MIA,WR,2022,True
Cedrick Wilson Jr.,MIA,WR,2022,True
D'Wayne Eskridge,MIA,WR,2022,True
De'Von Achane,MIA,RB,2022,True
Durham Smythe,MIA,TE,2022,True
Erik Ezukanma,MIA,WR,2022,True
Grant Dubose,MIA,WR,2022,True
Jake Bailey,MIA,P,2022,True
Jaylen Waddle,MIA,WR,2022,True
Jaylen Wright,MIA,RB,2022,True
Jeff Wilson,MIA,RB,2022,True
Julian Hill,MIA,TE,2022,True
Malik Washington,MIA,WR,2022,True
Raheem Mostert,MIA,RB,2022,True
River Cracraft,MIA,WR,2022,True
Robbie Chosen,MIA,WR,2022,True
Salvon Ahmed,MIA,RB,2022,True
Skylar Thompson,MIA,QB,2022,True
Tanner Conner,MIA,WR,2022,True
Tim Boyle,MIA,QB,2022,True
Tua Tagovailoa,MIA,QB,2022,True
Tyreek Hill,MIA,WR,2022,True
Brandon Powell,MIN,WR,2022,True
C.J. Ham,MIN,FB,2022,True
Jalen Nailor,MIN,WR,2022,True
Jaren Hall,MIN,QB,2022,True
Johnny Mundt,MIN,TE,2022,True
Jordan Addison,MIN,WR,2022,True
Josh Oliver,MIN,TE,2022,True
Justin Jefferson,MIN,WR,2022,True
K.J. Osborn,MIN,WR,2022,True
Myles Gaskin,MIN,RB,2022,True
Nick Mullens,MIN,QB,2022,True
Sam Darnold,MIN,QB,2022,True
T.J. Hockenson,MIN,TE,2022,True
Trishton Jackson,MIN,WR,2022,True
Ty Chandler,MIN,RB,2022,True
Adam Prentice,NOR,FB,2022,True
Alvin Kamara,NOR,RB,2022,True
Bub Means,NOR,WR,2022,True
Chris Olave,NOR,WR,2022,True
Dallin Holker,NOR,TE,2022,True
Dante Pettis,NOR,WR,2022,True
Derek Carr,NOR,QB,2022,True
Foster Moreau,NOR,TE,2022,True
Jake Haener,NOR,QB,2022,True
Jamaal Williams,NOR,RB,2022,True
Jermaine Jackson,NOR,WR,2022,True
Jimmy Graham,NOR,TE,2022,True
Jordan Mims,NOR,RB,2022,True
Juwan Johnson,NOR,TE,2022,True
Keith Kirkwood,NOR,WR,2022,True
Kendre Miller,NOR,RB,2022,True
Kevin Austin,NOR,WR,2022,True
Lynn Bowden Jr.,NOR,WR,2022,True
Mason Tipton,NOR,WR,2022,True
Matthew Hayball,NOR,P,2022,True
Michael Thomas,NOR,WR,2022,True
Rashid Shaheed,NOR,WR,2022,True
Spencer Rattler,NOR,QB,2022,True
Taysom Hill,NOR,TE,2022,True
Antonio Gibson,NWE,RB,2022,True
Cole Strange,NWE,G,2022,True
DeVante Parker,NWE,WR,2022,True
Dell Pettus,NWE,FS,2022,True
Demario Douglas,NWE,WR,2022,True
Drake Maye,NWE,QB,2022,True
Hunter Henry,NWE,TE,2022,True
Ja'Lynn Polk,NWE,WR,2022,True
Jacoby Brissett,NWE,QB,2022,True
Jaheim Bell,NWE,TE,2022,True
Javon Baker,NWE,WR,2022,True
Joe Milton,NWE,QB,2022,True
Kayshon Boutte,NWE,WR,2022,True
Kendrick Bourne,NWE,WR,2022,True
Malik Cunningham,NWE,QB,2022,True
Marcus Jones,NWE,CB,2022,True
Pharaoh Brown,NWE,TE,2022,True
Rhamondre Stevenson,NWE,RB,2022,True
Terrell Jennings,NWE,RB,2022,True
Ty Montgomery,NWE,WR,2022,True
Tyquan Thornton,NWE,WR,2022,True
Vederian Lowe,NWE,T,2022,True
Ben Bredeson,NYG,G,2022,True
Dane Belton,NYG,SS,2022,True
Daniel Bellinger,NYG,TE,2022,True
Daniel Jones,NYG,QB,2022,True
Darius Slayton,NYG,WR,2022,True
Darren Waller,NYG,TE,2022,True
Drew Lock,NYG,QB,2022,True
Eric Gray,NYG,RB,2022,True
Gary Brightwell,NYG,RB,2022,True
Isaiah Hodgins,NYG,WR,2022,True
Jalin Hyatt,NYG,WR,2022,True
Lawrence Cager,NYG,TE,2022,True
Malik Nabers,NYG,WR,2022,True
Matt Breida,NYG,RB,2022,True
Parris Campbell,NYG,WR,2022,True
Saquon Barkley,NYG,RB,2022,True
Sterling Shepard,NYG,WR,2022,True
Theo Johnson,NYG,TE,2022,True
Tommy DeVito,NYG,QB,2022,True
Tyrod Taylor,NYG,QB,2022,True
Tyrone Tracy Jr.,NYG,RB,2022,True
Wan'Dale Robinson,NYG,WR,2022,True
Aaron Rodgers,NYJ,QB,2022,True
Allen Lazard,NYJ,WR,2022,True
Ashtyn Davis,NYJ,SS,2022,True
Braelon Allen,NYJ,RB,2022,True
Breece Hall,NYJ,RB,2022,True
C.J. Uzomah,NYJ,TE,2022,True
Garrett Wilson,NYJ,WR,2022,True
Irvin Charles,NYJ,WR,2022,True
Isaiah Davis,NYJ,RB,2022,True
Jeremy Ruckert,NYJ,TE,2022,True
Kenny Yeboah,NYJ,TE,2022,True
Malachi Corley,NYJ,WR,2022,True
Nick Bawden,NYJ,FB,2022,True
Randall Cobb,NYJ,WR,2022,True
Tyler Conklin,NYJ,TE,2022,True
Xavier Gipson,NYJ,WR,2022,True
Zach Wilson,NYJ,QB,2022,True
A.J. Brown,PHI,WR,2022,True
Ainias Smith,PHI,WR,2022,True
Ben VanSumeren,PHI,LB,2022,True
Boston Scott,PHI,RB,2022,True
Britain Covey,PHI,WR,2022,True
Dallas Goedert,PHI,TE,2022,True
DeVonta Smith,PHI,WR,2022,True
E.J. Jenkins,PHI,TE,2022,True
Grant Calcaterra,PHI,TE,2022,True
Jack Stoll,PHI,TE,2022,True
Jahan Dotson,PHI,WR,2022,True
Jalen Hurts,PHI,QB,2022,True
John Ross,PHI,WR,2022,True
Johnny Wilson,PHI,WR,2022,True
Julio Jones,PHI,WR,2022,True
Kenneth Gainwell,PHI,RB,2022,True
Kenny Pickett,PHI,QB,2022,True
Olamide Zaccheaus,PHI,WR,2022,True
Quez Watkins,PHI,WR,2022,True
Rashaad Penny,PHI,RB,2022,True
Tanner McKee,PHI,QB,2022,True
Tyrion Davis-Price,PHI,RB,2022,True
Will Shipley,PHI,RB,2022,True
Aaron Shampklin,PIT,RB,2022,True
Anthony McFarland Jr.,PIT,RB,2022,True
Calvin Austin III,PIT,WR,2022,True
Connor Heyward,PIT,TE,2022,True
Darnell Washington,PIT,TE,2022,True
George Pickens,PIT,WR,2022,True
Gunner Olszewski,PIT,WR,2022,True
James Pierre,PIT,CB,2022,True
Jaylen Warren,PIT,RB,2022,True
Jonathan Ward,PIT,RB,2022,True
Miles Boykin,PIT,WR,2022,True
Miles Killebrew,PIT,SS,2022,True
Najee Harris,PIT,RB,2022,True
Pat Freiermuth,PIT,TE,2022,True
Rodney Williams,PIT,TE,2022,True
Zach Frazier,PIT,C,2022,True
AJ Barner,SEA,TE,2022,True
Cody Thompson,SEA,WR,2022,True
Cody White,SEA,WR,2022,True
D.K. Metcalf,SEA,WR,2022,True
Dareke Young,SEA,WR,2022,True
Geno Smith,SEA,QB,2022,True
George Holani,SEA,RB,2022,True
Jake Bobo,SEA,WR,2022,True
Jaxon Smith-Njigba,SEA,WR,2022,True
Julian Love,SEA,SS,2022,True
Kenneth Walker III,SEA,RB,2022,True
Kenny McIntosh,SEA,RB,2022,True
Noah Fant,SEA,TE,2022,True
Sam Howell,SEA,QB,2022,True
Tyler Lockett,SEA,WR,2022,True
Zach Charbonnet,SEA,RB,2022,True
Brandon Aiyuk,SFO,WR,2022,True
Brandon Allen,SFO,QB,2022,True
Brayden Willis,SFO,TE,2022,True
Brock Purdy,SFO,QB,2022,True
Chris Conley,SFO,WR,2022,True
Christian McCaffrey,SFO,RB,2022,True
Deebo Samuel,SFO,WR,2022,True
Dominick Puni,SFO,G,2022,True
Elijah Mitchell,SFO,RB,2022,True
Eric Saubert,SFO,TE,2022,True
George Kittle,SFO,TE,2022,True
Isaac Guerendo,SFO,RB,2022,True
Jacob Cowing,SFO,WR,2022,True
Jake Brendel,SFO,C,2022,True
Jauan Jennings,SFO,WR,2022,True
Jordan Mason,SFO,RB,2022,True
Ke'Shawn Vaughn,SFO,RB,2022,True
Kyle Juszczyk,SFO,FB,2022,True
Ricky Pearsall,SFO,WR,2022,True
Ronnie Bell,SFO,WR,2022,True
Willie Snead,SFO,WR,2022,True
Baker Mayfield,TAM,QB,2022,True
Bucky Irving,TAM,RB,2022,True
Cade Otton,TAM,TE,2022,True
Chase Edmonds,TAM,RB,2022,True
Chris Godwin,TAM,WR,2022,True
David Wells,TAM,TE,2022,True
Devin Culp,TAM,TE,2022,True
Jalen McMillan,TAM,WR,2022,True
Kameron Johnson,TAM,WR,2022,True
Ko Kieft,TAM,TE,2022,True
Kyle Trask,TAM,QB,2022,True
Mike Evans,TAM,WR,2022,True
Payne Durham,TAM,TE,2022,True
Rachaad White,TAM,RB,2022,True
Rakim Jarrett,TAM,WR,2022,True
Robert Hainsey,TAM,C,2022,True
Ryan Miller,TAM,WR,2022,True
Sean Tucker,TAM,RB,2022,True
Tavierre Thomas,TAM,CB,2022,True
Trey Palmer,TAM,WR,2022,True
Tristan Wirfs,TAM,T,2022,True
Amani Hooker,TEN,FS,2022,True
