,name,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,team,week
22,Drake Maye,20.26776201817569,26.150924877947865,240.09205901244638,1.839355107293207,0.14069960057053627,2.9957401753985002,6.678374846158393,35.03717468370357,0.17023582274177015,0.03632066900201919,0.03632066900201919,0.07264133800403838,0.0,0.4000256115221085,10,NE,11
23,Drew Lock,8.28324174088813,12.79319057545322,108.27364032594274,1.01831848904049,0.3033289116290821,0.4549933674436231,1.866654033225949,-0.48000758006443056,0.2166635083064872,0.0,0.0,0.0,0.0,0.15166445581454105,3,SEA,11
24,Geno Smith,16.72140989692654,24.781837943270297,160.5878971996868,0.739970236686048,1.0763570095279298,2.1668251702506005,2.9460936076395283,6.6125091616965,0.0,0.0,0.0,0.0,0.0,0.35956952923021174,10,LV,11
25,Jahmyr Gibbs,0.0,0.0,0.0,0.0,0.0,0.0,15.872557920897238,89.67211294535967,0.9791462326886129,3.1141981391800213,2.7812568033046423,37.96362647340172,0.16373107985511115,0.0,10,DET,11
26,Jake Browning,19.73592127814735,30.82490363680744,184.7709749574538,1.5754632167442766,1.8897258746820116,2.2307744254331676,2.6599708222401377,13.391192496630069,0.12940227091553802,0.0,0.0,0.0,0.0,0.3772660959636678,5,CIN,11
27,Jalen Hurts,19.982120252669397,28.053724049788165,255.74687006043467,1.9535500942909616,0.22174208956644054,3.2505013955311486,6.039577932406794,14.392572222927798,0.4383592781762424,0.0,0.0,0.0,0.0,0.2507344265104944,9,PHI,11
28,Jameis Winston,16.0,25.000000000000004,146.0,0.0,3.0,5.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,1,NYG,11
29,James Cook,0.0,0.0,0.0,0.0,0.0,0.0,17.350676721607808,86.05862015155827,0.5616347854078788,1.5862595682157687,1.2142475410731832,8.276084693208448,0.0257452017537047,0.10080409899482629,9,BUF,11
30,Jared Goff,21.0588448737361,28.672028745831387,235.40203621489084,1.9683635889923137,0.45093242490059704,2.3073818557233543,1.6397808886836351,4.158854438610116,0.0,0.0,0.0,0.0,0.0,0.5465754867723311,10,DET,11
31,Jaxson Dart,14.99369298612457,26.166457566206645,189.22843630255989,1.707823757212266,0.6732014810432584,2.585705688552515,7.265193783426324,33.07802337165142,0.6946215281673621,0.0,0.0,0.0,0.0,0.28322062308537077,6,NYG,11
